receptor_slug	cluster	panel_tier	ligand_tier	tier_note	agonist_name	agonist_modality	agonist_is_chain	agonist_pdb	agonist_res	agonist_struct_state	agonist_species	agonist_site	agonist_on_our_ref	antagonist_name	antagonist_role	antagonist_modality	antagonist_is_chain	antagonist_pdb	antagonist_res	antagonist_struct_state	antagonist_species	antagonist_site	antagonist_on_our_ref	n_allosteric_skipped	n_antibody_skipped
ADA2A	001_001_003	EXTENSION-census	T1_small_molecule		brimonidine (UK14304)	small-molecule	0	7EJ8	3.0	Active	Homo sapiens	orthosteric	1	RS79948	antagonist	small-molecule	0	6KUX	2.7	Inactive	Homo sapiens	orthosteric	1	0	0
ADRB1	001_001_003	PRIMARY	T1_small_molecule		CHEMBL1615159	small-molecule	0	7BU7	2.6	Active	Homo sapiens	orthosteric	1	Carazolol	inverse_agonist	small-molecule	0	7BVQ	2.5	Inactive	Homo sapiens	orthosteric	1	0	0
ADRB2	001_001_003	EXTENSION-census	T1_small_molecule		(5R,6R)-6-(methylamino)-5,6,7,8-tetrahydrona	small-molecule	0	8GG0	2.9	Active	Homo sapiens	orthosteric	1	Carazolol	inverse_agonist	small-molecule	0	2R4R	3.4	Inactive	Homo sapiens	orthosteric	1	3	0
AGTR1	001_002_001	PRIMARY	T3_mixed	agonist IS a chain but antagonist is NOT -- chain count differs between the two ligand arms, so this tier is reported on its own and never pooled	TRV026	peptide	1	6OS2	2.7	Active	Homo sapiens	orthosteric	1	OLMESARTAN	inverse_agonist	small-molecule	0	4ZUD	2.8	Inactive	Homo sapiens	orthosteric	0	0	2
APJ	001_002_002	PRIMARY	X_single_sided	no antagonist side available after skipping allosteric and antibody ligands	CMF-019	small-molecule	0	8XZI	2.7	Active	Homo sapiens	orthosteric	0											0	1
B1B1U5	001_009_001_inv	PRIMARY	T1_small_molecule		11,20-Ethanoretinal	small-molecule	0	9EPP	4.06	Active	Hasarius adansoni	orthosteric	1	Retinal (11-cis)	inverse_agonist	small-molecule	0	6I9K	2.15	Inactive	Hasarius adansoni	orthosteric	1	0	0
C5AR1	001_002_006	PRIMARY	T2_peptide	both arms supply a separate polymer chain	BM213	peptide	1	7Y66	2.9	Active	Homo sapiens	orthosteric	1	PMX53	antagonist	peptide	1	6C1R	2.2	Inactive	Homo sapiens	orthosteric	1	2	0
CCKAR	001_002_005	PRIMARY	T1_small_molecule		SR146131	small-molecule	0	7XOV	3.0	Active	Homo sapiens	orthosteric	0	lintitript	antagonist	small-molecule	0	7F8U	2.8	Inactive	Homo sapiens	orthosteric	1	0	0
CCR2	001_003_002	PRIMARY	T3_mixed	agonist IS a chain but antagonist is NOT -- chain count differs between the two ligand arms, so this tier is reported on its own and never pooled	C-C motif chemokine 2	peptide	1	7XA3	2.9	Active	Homo sapiens	orthosteric	1	MK-0812	antagonist	small-molecule	0	6GPX	2.7	Inactive	Homo sapiens	orthosteric	1	1	0
CCR5	001_003_002	EXTENSION-census	T2_peptide	both arms supply a separate polymer chain	CCL5	peptide	1	7O7F	3.15	Active	Homo sapiens	orthosteric	1	Envelope glycoprotein gp160	antagonist	protein	1	6MEO	3.9	Inactive	Homo sapiens	orthosteric	1	0	0
CCR6	001_003_002	EXTENSION-census	T3_mixed	agonist IS a chain but antagonist is NOT -- chain count differs between the two ligand arms, so this tier is reported on its own and never pooled	CCL20	peptide	1	6WWZ	3.34	Active	Homo sapiens	orthosteric	1	1-(4-chlorophenyl)-N-[[(2R)-4-(2,3-dihydro-1	antagonist	small-molecule	0	9D3G	3.26	Inactive	Homo sapiens	orthosteric	1	2	0
CCR8	001_003_002	EXTENSION-census	T2_peptide	both arms supply a separate polymer chain	CCL1	protein	1	8U1U	3.1	Active	Homo sapiens	orthosteric	0	mAb1	antagonist	protein	1	8TLM	2.9	Inactive	Homo sapiens	orthosteric	1	0	0
CNR1	001_004_005	EXTENSION-census	T1_small_molecule		CHEMBL4208628	small-molecule	0	8GHV	2.8	Active	Homo sapiens	orthosteric	1	Monlunabant	inverse_agonist	small-molecule	0	9BA0	3.13	Inactive	Homo sapiens	orthosteric	1	3	0
CNR2	001_004_005	PRIMARY	T1_small_molecule		CP55940	small-molecule	0	8GUR	2.84	Active	Homo sapiens	orthosteric	1	AM10257	antagonist	small-molecule	0	5ZTY	2.8	Inactive	Homo sapiens	orthosteric	1	0	0
CXCR2	001_003_002	EXTENSION-census	X_single_sided	no antagonist side available after skipping allosteric and antibody ligands	Interleukin-8	protein	1	6LFO	3.4	Active	Homo sapiens	orthosteric	1											1	0
CXCR3	001_003_002	EXTENSION-census	T1_small_molecule		CHEMBL2220409	small-molecule	0	8HNM	2.94	Active	Homo sapiens	orthosteric	1	CHEMBL1921858	antagonist	small-molecule	0	8HNN	3.6	Inactive	Homo sapiens	orthosteric	0	0	0
CXCR4	001_003_002	EXTENSION-census	T1_small_molecule		plerixafor	small-molecule	0	8U4P	3.15	Active	Homo sapiens	orthosteric	0	isothiourea-1t	antagonist	small-molecule	0	3ODU	2.5	Inactive	Homo sapiens	orthosteric	0	0	4
DRD2	001_001_004	EXTENSION-census	T1_small_molecule		dopamine	small-molecule	0	8TZQ	3.2	Active	Homo sapiens	orthosteric	1	risperidone	inverse_agonist	small-molecule	0	6CM4	2.87	Inactive	Homo sapiens	orthosteric	1	0	0
DRD3	001_001_004	PRIMARY	T1_small_molecule		rotigotine	small-molecule	0	8IRT	2.7	Active	Homo sapiens	orthosteric	1	eticlopride	antagonist	small-molecule	0	3PBL	2.89	Inactive	Homo sapiens	orthosteric	1	0	0
DRD4	001_001_004	EXTENSION-chimeric-reference	T1_small_molecule		rotigotine	small-molecule	0	8IRU	3.2	Active	Homo sapiens	orthosteric	1	[3H]NEMONAPRIDE	antagonist	small-molecule	0	5WIU	1.96	Inactive	Homo sapiens	orthosteric	1	0	0
EDNRA	001_002_007	EXTENSION-chimeric-reference	T3_mixed	agonist IS a chain but antagonist is NOT -- chain count differs between the two ligand arms, so this tier is reported on its own and never pooled	ENDOTHELIN	protein	1	8HCQ	3.01	Active	Homo sapiens	orthosteric	1	ambrisentan	antagonist	small-molecule	0	8XVK	3.21	Inactive	Homo sapiens	orthosteric	1	0	0
EDNRB	001_002_007	PRIMARY	T3_mixed	agonist IS a chain but antagonist is NOT -- chain count differs between the two ligand arms, so this tier is reported on its own and never pooled	ENDOTHELIN	protein	1	8IY5	2.8	Active	Homo sapiens	orthosteric	1	K-8794	antagonist	small-molecule	0	5X93	2.2	Inactive	Homo sapiens	orthosteric	0	0	0
FSHR	001_003_003	EXTENSION-census	X_single_sided	no antagonist side available after skipping allosteric and antibody ligands	Glycoprotein alpha	peptide	1	8I2G	2.8	Active	Homo sapiens	orthosteric	1											1	0
GHSR	001_002_010	PRIMARY	T1_small_molecule		ibutamoren	small-molecule	0	7NA8	2.7	Active	Homo sapiens	orthosteric	0	CHEMBL1956994	antagonist	small-molecule	0	6KO5	3.3	Inactive	Homo sapiens	orthosteric	1	0	0
GPR52	001_010_001	PRIMARY	X_single_sided	no antagonist side available after skipping allosteric and antibody ligands	derivative 17 [Nakahata <i>et al</i>., 2018]	small-molecule	0	8HMP	2.77	Active	Homo sapiens	orthosteric	1											0	0
GPR6	001_010_001	EXTENSION-census	X_single_sided	no agonist side available after skipping allosteric and antibody ligands										CHEMBL4763822	inverse_agonist	small-molecule	0	8T1V	2.6	Inactive	Homo sapiens	orthosteric	1	0	0
GRPR	001_002_003	EXTENSION-chimeric-reference	T3_mixed	agonist IS a chain but antagonist is NOT -- chain count differs between the two ligand arms, so this tier is reported on its own and never pooled	Gastrin-releasing peptide	peptide	1	8H0Q	3.3	Active	Homo sapiens	orthosteric	1	PD 176252	antagonist	small-molecule	0	7W41	2.95	Inactive	Homo sapiens	orthosteric	1	0	0
HRH1	001_001_005	EXTENSION-chimeric-reference	T1_small_molecule		histamine	small-molecule	0	8YN2	2.66	Active	Homo sapiens	orthosteric	1	astemizole	antagonist	small-molecule	0	8X5Y	3.0	Inactive	Homo sapiens	orthosteric	1	0	0
HRH2	001_001_005	EXTENSION-census	T1_small_molecule		histamine	small-molecule	0	8YN3	2.56	Active	Homo sapiens	orthosteric	1	famotidine	antagonist	small-molecule	0	7UL3	3.0	Inactive	Homo sapiens	orthosteric	1	0	0
HRH3	001_001_005	PRIMARY	T1_small_molecule		histamine	small-molecule	0	8YN5	2.7	Active	Homo sapiens	orthosteric	1	N-ethyl-3-fluoro-3-[3-fluoro-4-(pyrrolidin-1	antagonist	small-molecule	0	7F61	2.6	Inactive	Homo sapiens	orthosteric	1	0	0
LPAR1	001_004_003	PRIMARY	T1_small_molecule		lysophosphatidic acid	small-molecule	0	7TD0	2.83	Active	Homo sapiens	orthosteric	1	ONO-3080573	antagonist	small-molecule	0	4Z36	2.9	Inactive	Homo sapiens	orthosteric	1	0	0
LSHR	001_003_003	EXTENSION-census	X_single_sided	no antagonist side available after skipping allosteric and antibody ligands	Choriogonadotropin beta	protein	1	7FII	4.3	Active	Homo sapiens	orthosteric	1											1	0
LT4R1	001_004_002	PRIMARY	T1_small_molecule		LTB<sub>4</sub>	small-molecule	0	7VKT	2.9	Active	Homo sapiens	orthosteric	1	N-(tert-butylsulfonyl)-4-fluoro-2-{(3S,4R)-4	antagonist	small-molecule	0	7K15	2.88	Inactive	Homo sapiens	orthosteric	1	0	0
MCHR1	001_002_013	PRIMARY	T3_mixed	agonist IS a chain but antagonist is NOT -- chain count differs between the two ligand arms, so this tier is reported on its own and never pooled	Melanin-concentrating hormone	peptide	1	8WWK	2.61	Active	Homo sapiens	orthosteric	1	CHEMBL242004	antagonist	small-molecule	0	8YNS	3.33	Inactive	Homo sapiens	orthosteric	1	0	0
MTR1A	001_005_001	PRIMARY	X_single_sided	no antagonist side available after skipping allosteric and antibody ligands	2-iodo-melatonin	small-molecule	0	7VGY	3.1	Active	Homo sapiens	orthosteric	1											0	0
MTR1B	001_005_001	EXTENSION-census	X_single_sided	no antagonist side available after skipping allosteric and antibody ligands	ramelteon	small-molecule	0	7VH0	3.46	Active	Homo sapiens	orthosteric	1											0	0
NK1R	001_002_029	PRIMARY	T3_mixed	agonist IS a chain but antagonist is NOT -- chain count differs between the two ligand arms, so this tier is reported on its own and never pooled	substance P	peptide	1	8U26	2.5	Active	Homo sapiens	orthosteric	1	L760735	antagonist	small-molecule	0	6E59	3.4	Inactive	Homo sapiens	orthosteric	1	0	0
NPY1R	001_002_020	PRIMARY	T3_mixed	agonist IS a chain but antagonist is NOT -- chain count differs between the two ligand arms, so this tier is reported on its own and never pooled	neuropeptide Y	peptide	1	7X9A	3.2	Active	Homo sapiens	orthosteric	1	CHEMBL3747822	antagonist	small-molecule	0	5ZBQ	2.7	Inactive	Homo sapiens	orthosteric	1	0	0
NPY2R	001_002_020	EXTENSION-census	T3_mixed	agonist IS a chain but antagonist is NOT -- chain count differs between the two ligand arms, so this tier is reported on its own and never pooled	neuropeptide Y	peptide	1	8K6N	3.2	Active	Homo sapiens	orthosteric	1	CHEMBL1823578	antagonist	small-molecule	0	7DDZ	2.8	Inactive	Homo sapiens	orthosteric	1	0	0
NTR1	001_002_021	PRIMARY	T3_mixed	agonist IS a chain but antagonist is NOT -- chain count differs between the two ligand arms, so this tier is reported on its own and never pooled	JMV431	peptide	1	8JPF	3.02	Active	Homo sapiens	orthosteric	1	meclinertant	inverse_agonist	small-molecule	0	7UL2	2.4	Inactive	Homo sapiens	orthosteric	1	4	0
OPRD	001_002_022	PRIMARY	T1_small_molecule		DPI-287	small-molecule	0	6PT3	3.3	Active	Homo sapiens	orthosteric	0	naltrindole	antagonist	small-molecule	0	4N6H	1.8	Inactive	Homo sapiens	orthosteric	1	0	0
OPRK	001_002_022	EXTENSION-census	T1_small_molecule		CHEMBL277863	small-molecule	0	8DZR	2.61	Active	Homo sapiens	orthosteric	0	JDTic	antagonist	small-molecule	0	6VI4	3.3	Inactive	Homo sapiens	orthosteric	1	0	0
OPRM	001_002_022	EXTENSION-census	T1_small_molecule		BU72	small-molecule	0	5C1M	2.07	Active	Mus musculus	orthosteric	1	alvimopan	antagonist	small-molecule	0	7UL4	2.8	Inactive	Mus musculus	orthosteric	1	2	1
OPRX	001_002_022	EXTENSION-census	T3_mixed	agonist IS a chain but antagonist is NOT -- chain count differs between the two ligand arms, so this tier is reported on its own and never pooled	nociceptin/orphanin FQ	peptide	1	8F7X	3.28	Active	Homo sapiens	orthosteric	1	SB 612111	antagonist	small-molecule	0	5DHH	3.0	Inactive	Homo sapiens	orthosteric	1	0	0
OPSD	001_009_001_vert	PRIMARY	T1_small_molecule		Retinal (all-trans)	small-molecule	0	5DYS	2.3	Active	Bos taurus	orthosteric	0	Retinal (11-cis)	inverse_agonist	small-molecule	0	7ZBC	1.8	Inactive	Bos taurus	orthosteric	1	0	0
OX2R	001_002_023	EXTENSION-chimeric-reference	T1_small_molecule		compound 1 [PMID: 33547286]	small-molecule	0	7L1V	3.0	Active	Homo sapiens	orthosteric	1	lemborexant	antagonist	small-molecule	0	7XRR	2.89	Inactive	Homo sapiens	orthosteric	1	0	0
OXYR	001_002_032	EXTENSION-chimeric-reference	T3_mixed	agonist IS a chain but antagonist is NOT -- chain count differs between the two ligand arms, so this tier is reported on its own and never pooled	oxytocin	peptide	1	7RYC	2.9	Active	Homo sapiens	orthosteric	1	retosiban	antagonist	small-molecule	0	6TPK	3.2	Inactive	Homo sapiens	orthosteric	1	0	0
PD2R2	001_004_008	PRIMARY	T1_small_molecule		PGD2	lipid	0	9IYB	2.82	Active	Homo sapiens	orthosteric	0	15(<i>R</i>)-15-methyl-PGD<sub>2</sub>	antagonist	small-molecule	0	7M8W	2.61	Inactive	Homo sapiens	orthosteric	1	2	0
PE2R4	001_004_008	EXTENSION-census	T1_small_molecule		PGE<sub>2</sub>	small-molecule	0	8GDB	3.1	Active	Homo sapiens	orthosteric	1	ONO-AE3-208-Br	antagonist	small-molecule	0	5YHL	4.2	Inactive	Homo sapiens	orthosteric	1	0	0
S1PR1	001_004_004	PRIMARY	T1_small_molecule		siponimod	small-molecule	0	7TD4	2.6	Active	Homo sapiens	orthosteric	1	W146	antagonist	small-molecule	0	3V2Y	2.8	Inactive	Homo sapiens	orthosteric	1	0	0
S1PR5	001_004_004	EXTENSION-census	T1_small_molecule		siponimod	small-molecule	0	7EW1	3.4	Active	Homo sapiens	orthosteric	1	4-[6-(2-naphthalen-1-ylethoxy)-2,3,4,5-tetra	antagonist	small-molecule	0	7YXA	2.2	Inactive	Homo sapiens	orthosteric	1	0	0
SSR2	001_002_028	PRIMARY	T2_peptide	both arms supply a separate polymer chain	SOMATOSTATIN	protein	1	7T10	2.5	Active	Homo sapiens	orthosteric	1	CYN 154806	antagonist	peptide	1	7XNA	2.65	Inactive	Homo sapiens	orthosteric	0	0	0
TA2R	001_004_008	EXTENSION-chimeric-reference	T1_small_molecule		cloprostenol	small-molecule	0	8XJN	3.06	Active	Homo sapiens	orthosteric	1	ramatroban	antagonist	small-molecule	0	6IIU	2.5	Inactive	Homo sapiens	orthosteric	1	0	0
TSHR	001_003_003	PRIMARY	X_single_sided	no antagonist side available after skipping allosteric and antibody ligands	Glycoprotein hormones alpha chain analog TR1	protein	1	7UTZ	2.4	Active	Homo sapiens	orthosteric	1											2	8
